Region,Rent
Auckland,330
Auckland,584
Auckland,265
Auckland,566
Auckland,337
Auckland,451
Auckland,384
Auckland,533
Auckland,424
Auckland,576
Auckland,210
Auckland,594
Auckland,266
Auckland,571
Auckland,380
Auckland,274
Auckland,435
Auckland,201
Auckland,329
Auckland,353
Auckland,222
Auckland,264
Auckland,280
Auckland,594
Auckland,365
Auckland,347
Auckland,337
Auckland,401
Auckland,473
Auckland,559
Auckland,212
Auckland,327
Auckland,199
Auckland,459
Auckland,397
Auckland,575
Auckland,570
Auckland,299
Auckland,265
Auckland,521
Auckland,238
Auckland,334
Auckland,329
Auckland,343
Auckland,466
Auckland,220
Auckland,309
Auckland,326
Auckland,415
Auckland,553
Auckland,412
Auckland,522
Auckland,262
Auckland,299
Auckland,276
Auckland,273
Auckland,347
Auckland,478
Auckland,264
Auckland,276
Auckland,503
Auckland,305
Auckland,266
Auckland,271
Auckland,266
Auckland,598
Auckland,334
Auckland,381
Auckland,382
Auckland,604
Auckland,586
Auckland,464
Auckland,328
Auckland,380
Auckland,375
Auckland,267
Auckland,207
Auckland,336
Auckland,262
Auckland,272
Auckland,194
Auckland,247
Auckland,283
Auckland,386
Auckland,282
Auckland,268
Auckland,425
Auckland,330
Auckland,390
Auckland,273
Auckland,277
Auckland,420
Auckland,534
Auckland,518
Auckland,315
Auckland,224
Auckland,560
Auckland,613
Auckland,550
Auckland,271
Auckland,311
Auckland,497
Auckland,338
Auckland,364
Auckland,262
Auckland,199
Auckland,382
Auckland,454
Auckland,273
Auckland,328
Auckland,204
Auckland,559
Auckland,433
Auckland,496
Auckland,330
Auckland,275
Auckland,400
Auckland,332
Auckland,538
Auckland,451
Auckland,537
Auckland,273
Auckland,205
Auckland,261
Auckland,272
Auckland,201
Auckland,273
Auckland,313
Auckland,449
Auckland,556
Auckland,513
Auckland,376
Auckland,304
Auckland,577
Auckland,335
Auckland,547
Auckland,270
Auckland,400
Auckland,469
Auckland,210
Auckland,263
Auckland,554
Auckland,348
Auckland,254
Auckland,572
Auckland,424
Auckland,532
Auckland,449
Auckland,452
Auckland,379
Auckland,271
Auckland,446
Auckland,403
Auckland,557
Auckland,264
Auckland,327
Auckland,590
Auckland,269
Auckland,431
Auckland,506
Auckland,203
Auckland,440
Auckland,515
Auckland,443
Auckland,509
Auckland,199
Auckland,332
Auckland,250
Auckland,572
Auckland,267
Auckland,317
Auckland,451
Auckland,390
Auckland,357
Auckland,377
Auckland,507
Auckland,430
Auckland,333
Auckland,283
Auckland,331
Auckland,265
Auckland,602
Auckland,338
Auckland,338
Auckland,271
Auckland,219
Auckland,591
Auckland,272
Auckland,592
Auckland,596
Auckland,334
Auckland,274
Auckland,264
Auckland,261
Auckland,324
Auckland,206
Auckland,321
Auckland,240
Auckland,386
Auckland,503
Auckland,522
Auckland,561
Auckland,283
Auckland,342
Auckland,265
Auckland,369
Auckland,395
Auckland,268
Auckland,254
Auckland,372
Auckland,333
Auckland,273
Auckland,216
Auckland,539
Auckland,489
Auckland,425
Auckland,279
Auckland,607
Auckland,385
Auckland,263
Auckland,435
Auckland,553
Auckland,609
Auckland,292
Auckland,379
Auckland,603
Auckland,330
Auckland,395
Auckland,383
Auckland,471
Auckland,439
Auckland,410
Auckland,532
Auckland,477
Auckland,444
Auckland,386
Auckland,260
Auckland,276
Auckland,381
Auckland,369
Auckland,284
Auckland,346
Auckland,544
Auckland,515
Auckland,335
Auckland,234
Auckland,263
Auckland,466
Auckland,237
Auckland,550
Auckland,452
Auckland,331
Auckland,488
Auckland,420
Auckland,421
Auckland,430
Auckland,460
Auckland,220
Auckland,367
Auckland,275
Auckland,566
Auckland,277
Auckland,270
Auckland,275
Auckland,286
Auckland,338
Auckland,378
Auckland,364
Auckland,267
Auckland,336
Auckland,246
Auckland,431
Auckland,265
Auckland,246
Auckland,273
Auckland,277
Auckland,422
Auckland,519
Auckland,401
Auckland,341
Auckland,439
Auckland,487
Auckland,329
Auckland,375
Auckland,264
Auckland,391
Auckland,326
Auckland,548
Auckland,271
Auckland,538
Auckland,231
Auckland,353
Auckland,331
Auckland,277
Auckland,379
Auckland,565
Auckland,591
Auckland,466
Auckland,387
Auckland,538
Auckland,336
Auckland,259
Auckland,441
Auckland,580
Auckland,386
Auckland,369
Auckland,580
Auckland,556
Auckland,570
Auckland,437
Auckland,429
Auckland,534
Auckland,380
Auckland,492
Auckland,346
Auckland,595
Auckland,505
Auckland,345
Auckland,281
Auckland,216
Auckland,328
Auckland,495
Auckland,399
Auckland,255
Auckland,273
Auckland,294
Auckland,396
Auckland,388
Auckland,516
Auckland,262
Auckland,418
Auckland,276
Auckland,266
Auckland,399
Auckland,513
Auckland,275
Auckland,356
Auckland,289
Auckland,276
Auckland,285
Auckland,327
WestCoast,249
WestCoast,320
WestCoast,119
WestCoast,222
WestCoast,119
WestCoast,247
WestCoast,246
WestCoast,301
WestCoast,148
WestCoast,262
WestCoast,226
WestCoast,117
WestCoast,236
WestCoast,239
WestCoast,109
WestCoast,145
WestCoast,236
WestCoast,235
WestCoast,120
WestCoast,122
WestCoast,164
WestCoast,307
WestCoast,195
WestCoast,244
WestCoast,250
WestCoast,122
WestCoast,270
WestCoast,242
WestCoast,252
WestCoast,226
WestCoast,294
WestCoast,109
WestCoast,240
WestCoast,122
WestCoast,118
WestCoast,270
WestCoast,232
WestCoast,120
WestCoast,300
WestCoast,255
WestCoast,133
WestCoast,257
WestCoast,121
WestCoast,111
WestCoast,275
WestCoast,147
WestCoast,155
WestCoast,130
WestCoast,228
WestCoast,100
WestCoast,118
WestCoast,146
WestCoast,240
WestCoast,118
WestCoast,244
WestCoast,134
WestCoast,125
WestCoast,149
WestCoast,216
WestCoast,181
WestCoast,145
WestCoast,125
WestCoast,231
WestCoast,112
WestCoast,264
WestCoast,263
WestCoast,273
WestCoast,258
WestCoast,199
WestCoast,261
WestCoast,129
WestCoast,110
WestCoast,258
WestCoast,122
WestCoast,213
WestCoast,216
WestCoast,273
WestCoast,267
WestCoast,130
WestCoast,263
WestCoast,268
WestCoast,190
WestCoast,122
WestCoast,212
WestCoast,211
WestCoast,287
WestCoast,250
WestCoast,237
WestCoast,119
WestCoast,233
WestCoast,241
WestCoast,137
WestCoast,113
WestCoast,115
WestCoast,248
WestCoast,200
WestCoast,112
WestCoast,114
WestCoast,287
WestCoast,183
WestCoast,249
WestCoast,118
WestCoast,259
WestCoast,117
WestCoast,251
WestCoast,118
WestCoast,230
WestCoast,113
WestCoast,125
WestCoast,174
WestCoast,229
WestCoast,228
WestCoast,216
WestCoast,115
WestCoast,164
WestCoast,249
WestCoast,105
WestCoast,121
WestCoast,246
WestCoast,271
WestCoast,111
WestCoast,260
WestCoast,250
WestCoast,256
WestCoast,127
WestCoast,156
WestCoast,256
WestCoast,254
WestCoast,130
WestCoast,122
WestCoast,241
WestCoast,255
WestCoast,101
WestCoast,117
WestCoast,117
WestCoast,116
WestCoast,118
WestCoast,214
WestCoast,118
WestCoast,123
WestCoast,262
WestCoast,106
WestCoast,189
WestCoast,247
WestCoast,121
WestCoast,234
WestCoast,263
WestCoast,127
WestCoast,124
WestCoast,120
WestCoast,245
WestCoast,123
WestCoast,221
WestCoast,229
WestCoast,124
WestCoast,249
WestCoast,265
WestCoast,168
WestCoast,103
WestCoast,171
WestCoast,118
WestCoast,256
WestCoast,120
WestCoast,280
WestCoast,247
WestCoast,273
WestCoast,117
WestCoast,114
WestCoast,123
WestCoast,113
WestCoast,238
WestCoast,177
WestCoast,329
WestCoast,117
WestCoast,241
WestCoast,128
WestCoast,252
WestCoast,253
WestCoast,246
WestCoast,326
WestCoast,206
WestCoast,115
WestCoast,126
WestCoast,226
WestCoast,279
WestCoast,151
WestCoast,282
WestCoast,106
WestCoast,118
WestCoast,126
WestCoast,245
WestCoast,230
WestCoast,109
WestCoast,120
WestCoast,167
WestCoast,117
WestCoast,249
WestCoast,173
WestCoast,224
WestCoast,99
WestCoast,239
WestCoast,205
WestCoast,194
WestCoast,125
WestCoast,237
WestCoast,276
WestCoast,123
WestCoast,115
WestCoast,127
WestCoast,163
WestCoast,257
WestCoast,184
WestCoast,234
WestCoast,117
WestCoast,106
WestCoast,142
WestCoast,230
WestCoast,228
WestCoast,233
WestCoast,252
WestCoast,122
WestCoast,113
WestCoast,117
WestCoast,253
WestCoast,116
WestCoast,177
WestCoast,255
WestCoast,259
WestCoast,119
WestCoast,118
WestCoast,233
WestCoast,188
WestCoast,144
WestCoast,190
WestCoast,122
WestCoast,155
WestCoast,256
WestCoast,128
WestCoast,196
WestCoast,240
WestCoast,248
WestCoast,128
WestCoast,238
WestCoast,237
WestCoast,162
WestCoast,155
WestCoast,235
WestCoast,262
WestCoast,260
WestCoast,253
WestCoast,255
WestCoast,262
WestCoast,261
WestCoast,123
WestCoast,218
WestCoast,250
WestCoast,123
WestCoast,225
WestCoast,122
WestCoast,118
WestCoast,264
WestCoast,161
WestCoast,119
WestCoast,164
WestCoast,236
WestCoast,151
WestCoast,240
WestCoast,245
WestCoast,180
WestCoast,258
WestCoast,232
WestCoast,243
WestCoast,239
WestCoast,310
WestCoast,257
WestCoast,118
WestCoast,245
WestCoast,235
WestCoast,143
WestCoast,124
WestCoast,116
WestCoast,122
WestCoast,121
WestCoast,247
WestCoast,114
WestCoast,118
WestCoast,269
WestCoast,117
WestCoast,131
WestCoast,121
WestCoast,127
WestCoast,157
WestCoast,257
WestCoast,112
WestCoast,260
WestCoast,275
WestCoast,117
WestCoast,218
WestCoast,149
WestCoast,114
WestCoast,235
WestCoast,243
WestCoast,118
WestCoast,235
WestCoast,239
WestCoast,119
WestCoast,127
WestCoast,255
WestCoast,154
WestCoast,116
WestCoast,123
WestCoast,127
WestCoast,115
WestCoast,168
WestCoast,129
WestCoast,115
WestCoast,122
WestCoast,184
WestCoast,192
WestCoast,275
WestCoast,232
WestCoast,308
WestCoast,168
WestCoast,194
WestCoast,228
WestCoast,253
WestCoast,239
WestCoast,111
WestCoast,182
WestCoast,247
WestCoast,123
WestCoast,156
WestCoast,129
WestCoast,120
WestCoast,194
WestCoast,270
WestCoast,245
WestCoast,254
WestCoast,128
WestCoast,276
WestCoast,278
